baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,723', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,357', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,734', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,363', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,724', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,360', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,716', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,356', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,715', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,354', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,717', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
2.0	3	Columbia	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1989', u'All time views: 1,349', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2015 for $13,250', u'Last sale price/sqft: $10', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Ownership Rights: Bank Owned', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Drive: Dirt', u'Appliances: Other', u'Heating System: Other', u'Air Conditioning: Other', u'Modular: Multi Section Manufacture', u'County: Tyrrell', u'Water Heater: Other', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Retaining Wall', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,296 sqft', u'Laundry: Shared', u'Parcel #: T171 01 061', u'Zillow Home ID: 113761998']	http://photos3.zillowstatic.com/p_e/IS52lvhoj7wzju0000000000.jpg	13250.0	[]	1296.0	NC	97941.0	27925	113761998
1.0	2	Columbia	[u'Lot: 1.03 acres', u'Single Family', u'Built in 1962', u'All time views: 2,718', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2015 for $48,100', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Flood Zone: Zone AE & A1-A30', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Location Description: Horses Permitted', u'Laminated Counter Tops', u'County: Tyrrell', u'Flood Zone: Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Other, Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,020 sqft', u'Heating: Electric', u'Parcel #: T151 01 018', u'Zillow Home ID: 113761975']	http://photos3.zillowstatic.com/p_e/IStgw486aa6bq40000000000.jpg	48100.0	[]	1020.0	NC	94024.0	27925	113761975
